accession,organism_name,tax_id,fppl_name,priority,release_date,collection_date,geo_loc_name,host,isolation_source,host_disease,env_broad_scale,host_category,submitter,submitter_category,bioproject_accession,study_accession,platform,instrument_model,library_strategy,library_source,library_selection
SRR38312360,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:36,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312361,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:36,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312362,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:36,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312363,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312364,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312365,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312366,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312367,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312368,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312369,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312370,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312371,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312372,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312373,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312374,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312375,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312376,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
