fppl_name,priority,submitter,record_count
Aspergillus fumigatus,Critical,University of Birmingham,637
Aspergillus fumigatus,Critical,Leibniz-HKI,504
Aspergillus fumigatus,Critical,Imperial College London,391
Aspergillus fumigatus,Critical,UMass Amherst,302
Aspergillus fumigatus,Critical,Wageningen University,270
Aspergillus fumigatus,Critical,radboudumc,245
Aspergillus fumigatus,Critical,University of Georgia,227
Aspergillus fumigatus,Critical,Yunnan University,226
Aspergillus fumigatus,Critical,Centers for Disease Control and Prevention,203
Aspergillus fumigatus,Critical,Wageningen University & Research,193
Candida albicans,Critical,Institut Pasteur,770
Candida albicans,Critical,SRG,380
Candida albicans,Critical,Chinese Center for Disease Control and Prevention,370
Candida albicans,Critical,Shanghai Tenth People's Hospital,304
Candida albicans,Critical,TEL AVIV UNIVERSITY,291
Candida albicans,Critical,University of Rochester,248
Candida albicans,Critical,European Bioinformatics Institute,241
Candida albicans,Critical,Broad Institute,197
Candida albicans,Critical,BI,180
Candida albicans,Critical,Public Health Agency of Canada,142
Candida auris,Critical,UPHL_ID,5043
Candida auris,Critical,NVSPHL,4540
Candida auris,Critical,MDH_CSL,2528
Candida auris,Critical,cdc-ncezid-mdb,2403
Candida auris,Critical,MDHHS-GS,1798
Candida auris,Critical,TXDSHS,1735
Candida auris,Critical,Wisconsin State Laboratory of Hygiene,1585
Candida auris,Critical,RIPHL,1291
Candida auris,Critical,NSPHL,1031
Candida auris,Critical,Minnesota Department of Health Infectious Disease Laboratory Submission Group,830
Candida parapsilosis,High,University College Dublin,375
Candida parapsilosis,High,First Affiliated Hospital of Sun Yat-sen University,182
Candida parapsilosis,High,Shenzhen Institute of Advanced Technology Chinese Academy of Science,125
Candida parapsilosis,High,Memorial Sloan Kettering Cancer Center,123
Candida parapsilosis,High,Fundacion para la Investigacion Biomedica del Hospital Gregorio Maranon,115
Candida parapsilosis,High,Shanghai Tenth People's Hospital,103
Candida parapsilosis,High,cdc-ncezid-mdb,90
Candida parapsilosis,High,University of Pavia,82
Candida parapsilosis,High,FSU Jena,76
Candida parapsilosis,High,Sidra Medicine,51
Candida tropicalis,High,Peking Union Medical College Hospital,459
Candida tropicalis,High,Fudan University,278
Candida tropicalis,High,Vallabhbhai Patel Chest Institute,133
Candida tropicalis,High,Institute of Clinical Pathology and Medical Research,83
Candida tropicalis,High,Canisius-Wilhelmina Hospital,82
Candida tropicalis,High,University College Dublin,79
Candida tropicalis,High,Jiangxi Cancer Hospital,56
Candida tropicalis,High,National University Hospital,53
Candida tropicalis,High,"Hospital Canselor Tuanku Muhriz, Pusat Perubatan UKM",48
Candida tropicalis,High,Shanghai Tenth People's Hospital,31
Coccidioides spp.,Medium,"University of California, San Francisco",96
Coccidioides spp.,Medium,Translational Genomics Institute,74
Coccidioides spp.,Medium,TGen North,68
Coccidioides spp.,Medium,University of Utah,50
Coccidioides spp.,Medium,Northern Arizona University,36
Coccidioides spp.,Medium,BI,15
Coccidioides spp.,Medium,Broad Institute of MIT and Harvard,14
Coccidioides spp.,Medium,Centers for Disease Control and Prevention,14
Coccidioides spp.,Medium,University of Brasilia,13
Coccidioides spp.,Medium,ROBERT KOCH-INSTITUTE,12
Cryptococcus gattii,Medium,Broad Institute,109
Cryptococcus gattii,Medium,TGen North,63
Cryptococcus gattii,Medium,Chinese Academy of Science,50
Cryptococcus gattii,Medium,University of Exeter,39
Cryptococcus gattii,Medium,BI,34
Cryptococcus gattii,Medium,ShanghaiTech University,24
Cryptococcus gattii,Medium,Imperial College,21
Cryptococcus gattii,Medium,JCVI,12
Cryptococcus gattii,Medium,UCL,7
Cryptococcus gattii,Medium,Institut Pasteur,5
Cryptococcus neoformans,Critical,Broad Institute,1298
Cryptococcus neoformans,Critical,Duke University,872
Cryptococcus neoformans,Critical,BI,807
Cryptococcus neoformans,Critical,Shanghai Tenth People's Hospital,644
Cryptococcus neoformans,Critical,Oxford University Clinical Research Unit,415
Cryptococcus neoformans,Critical,Mateusiak/Brent,390
Cryptococcus neoformans,Critical,IMPERIAL COLLEGE LONDON,316
Cryptococcus neoformans,Critical,The Wellcome Trust Sanger Institute,228
Cryptococcus neoformans,Critical,TEL AVIV UNIVERSITY,158
Cryptococcus neoformans,Critical,"College of Life and Health Sciences, Northeastern University",150
Eumycetoma agents,High,cdc-ncezid-mdb,68
Eumycetoma agents,High,Umm Al Qura University,6
Eumycetoma agents,High,ErasmusMC,4
Eumycetoma agents,High,EBI,4
Eumycetoma agents,High,Medical Mycology Research Center,2
Eumycetoma agents,High,Westerdijk Fungal Biodiversity Institute,2
Eumycetoma agents,High,National Center for Emerging and Zoonotic Infectious Diseases- Mycotic Diseases Branch,2
Eumycetoma agents,High,DOE Joint Genome Institute,2
Eumycetoma agents,High,Chiba University,2
Eumycetoma agents,High,"Medical Mycology Research Center, Chiba University",2
Fusarium spp.,High,Cook Lab - University of California at Davis,588
Fusarium spp.,High,Wageningen University and Research,564
Fusarium spp.,High,CSIRO,329
Fusarium spp.,High,University of Amsterdam,289
Fusarium spp.,High,University of Warmia and Mazury in Olsztyn,255
Fusarium spp.,High,BI,238
Fusarium spp.,High,"AGRIBIO, CENTRE FOR AGRIBIOSCIENC",202
Fusarium spp.,High,United States Department of Agriculture,188
Fusarium spp.,High,"US Department of Agriculture, Agriculture Research Service",166
Fusarium spp.,High,Oregon State University,165
Histoplasma spp.,High,"University of California, San Francisco",251
Histoplasma spp.,High,University of North Carolina at Chapel Hill,103
Histoplasma spp.,High,University of Brasilia,62
Histoplasma spp.,High,Centers for Disease Control and Prevention,48
Histoplasma spp.,High,National Institute For Communicable Diseases,33
