accession,organism_name,tax_id,fppl_name,priority,release_date,assembly_level,collection_date,geo_loc_name,host,isolation_source,host_disease,env_broad_scale,host_category,submitter,submitter_category,biosample_owner,assembly_submitter,bioproject_accession,genome_size_bp,gc_percent
GCA_002215745.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2017-07-07,Scaffold,,Brazil,Homo sapiens,,,,human,Broad Institute,research_institute,Broad Institute,Broad Institute,PRJNA312860,18436157,48.0
GCA_002215755.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2017-07-07,Scaffold,,Brazil,Homo sapiens,,,,human,Broad Institute,research_institute,Broad Institute,Broad Institute,PRJNA312859,18368897,48.0
GCA_002216725.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2017-07-12,Chromosome,2016-03,,,Laboratory stock,,,animal,Washington University in St. Louis,university,Washington University in St. Louis,Washington University in St. Louis,PRJNA384617,18889724,48.0
GCA_002217545.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2017-07-13,Scaffold,,,,,,,unknown,EBI,research_institute,EBI,Broad Institute,PRJNA193060,18083839,48.0
GCA_002220045.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2017-07-17,Scaffold,,Brazil,Homo sapiens,,,,human,Broad Institute,research_institute,Broad Institute,Broad Institute,PRJNA312861,18619184,48.0
GCA_002222015.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2017-07-20,Scaffold,,,,,,,unknown,EBI,research_institute,EBI,Broad Institute,PRJNA193058,18606003,48.0
GCA_002222025.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2017-07-20,Scaffold,,,,,,,unknown,EBI,research_institute,EBI,Broad Institute,PRJNA193054,18568655,48.0
GCA_002222095.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2017-07-20,Scaffold,,,,,,,unknown,EBI,research_institute,EBI,Broad Institute,PRJNA193057,18602782,48.0
GCA_002222115.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2017-07-20,Scaffold,,,,,,,unknown,EBI,research_institute,EBI,Broad Institute,PRJNA193055,18516783,48.0
GCA_002222135.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2017-07-20,Scaffold,,,,,,,unknown,EBI,research_institute,EBI,Broad Institute,PRJNA193062,18560305,48.0
GCA_002222145.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2017-07-20,Scaffold,,,,,,,unknown,EBI,research_institute,EBI,Broad Institute,PRJNA193056,18557031,48.0
GCA_002222155.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2017-07-20,Scaffold,,,,,,,unknown,EBI,research_institute,EBI,Broad Institute,PRJNA193061,18505623,48.0
GCA_002222165.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2017-07-20,Scaffold,,,,,,,unknown,EBI,research_institute,EBI,Broad Institute,PRJNA193053,18521151,48.0
